CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level,Cluster,Color
12915,148,22,363.65,2,2,2,222,6,Silver,1,green
12916,138,107,3006.15,2,4,5,245,11,Platinum,0,red
12917,128,2,594,2,1,3,213,6,Silver,1,green
12919,8,50,1335.19,5,3,4,534,12,Platinum,2,blue
12920,17,28,164.23,4,2,1,421,7,Silver,1,green
12921,9,720,16587.09,5,5,5,555,15,Diamond,2,blue
12922,161,28,405.38,2,2,2,222,6,Silver,1,green
12923,64,29,176.97,3,2,1,321,6,Silver,1,green
12924,88,30,933.7,2,3,4,234,9,Gold,0,red
12925,4,45,694.05,5,3,3,533,11,Platinum,2,blue
12928,35,84,2062.7,3,4,5,345,12,Platinum,0,red
12929,311,8,117.85,1,1,1,111,3,Basic,1,green
12930,78,25,415.8,2,2,2,222,6,Silver,1,green
12931,21,82,42055.96,4,4,5,445,13,Platinum,2,blue
12933,24,106,607.53,4,4,3,443,11,Platinum,0,red
12935,2,129,2160.7,5,5,5,555,15,Diamond,2,blue
12936,17,62,1063.9,4,4,4,444,12,Platinum,0,red
12937,15,120,1504.27,4,4,4,444,12,Platinum,2,blue
12938,25,9,114.14,4,1,1,411,6,Silver,1,green
12939,64,47,11581.8,3,3,5,335,11,Platinum,0,red
12940,54,99,913.54,3,4,4,344,11,Platinum,0,red
12942,131,75,683.9,2,4,3,243,9,Gold,0,red
12944,35,30,604.51,3,3,3,333,9,Gold,0,red
12945,288,23,462.95,1,2,2,122,5,Basic,1,green
12947,143,97,1603.99,2,4,4,244,10,Gold,0,red
12948,16,116,2064.95,4,4,5,445,13,Platinum,2,blue
12949,30,215,4167.22,4,5,5,455,14,Diamond,2,blue
12950,2,23,1843,5,2,4,524,11,Platinum,2,blue
12951,8,63,1064.07,5,4,4,544,13,Platinum,2,blue
12952,5,79,1387.79,5,4,4,544,13,Platinum,2,blue
12953,9,17,329.85,5,2,2,522,9,Gold,0,red
12955,1,180,4757.16,5,5,5,555,15,Diamond,2,blue
12956,306,19,108.07,1,2,1,121,4,Basic,1,green
12957,9,238,4017.54,5,5,5,555,15,Diamond,2,blue
12962,7,16,266.39,5,2,2,522,9,Gold,0,red
12963,8,95,1856.63,5,4,4,544,13,Platinum,2,blue
12965,89,109,771.91,2,4,3,243,9,Gold,0,red
12966,9,10,160.18,5,1,1,511,7,Silver,1,green
12967,358,19,1660.9,1,2,4,124,7,Silver,0,red
12968,112,5,135.95,2,1,1,211,4,Basic,1,green
12970,7,151,452.24,5,5,2,552,12,Platinum,2,blue
12971,3,305,11189.91,5,5,5,555,15,Diamond,2,blue
12974,197,8,144.8,1,1,1,111,3,Basic,1,green
12976,211,22,738.6,1,2,3,123,6,Silver,1,green
12977,156,9,39.24,2,1,1,211,4,Basic,1,green
12980,157,20,7374.9,2,2,5,225,9,Gold,0,red
12981,29,20,372.22,4,2,2,422,8,Silver,0,red
12982,242,28,390.54,1,2,2,122,5,Basic,1,green
12984,18,4,97.5,4,1,1,411,6,Silver,1,green
12985,1,76,1239.38,5,4,4,544,13,Platinum,2,blue
12987,73,28,558.7,2,2,3,223,7,Silver,0,red
12988,292,92,535.32,1,4,3,143,8,Silver,0,red
12989,3,64,6924.11,5,4,5,545,14,Diamond,2,blue
12990,31,13,409.5,4,1,2,412,7,Silver,1,green
12991,23,31,503.76,4,3,3,433,10,Gold,0,red
12993,23,27,414.76,4,2,2,422,8,Silver,0,red
12994,4,61,974.42,5,4,4,544,13,Platinum,2,blue
12995,85,3,211.32,2,1,1,211,4,Basic,1,green
12997,22,59,1226.89,4,4,4,444,12,Platinum,0,red
12999,196,28,455.88,1,2,2,122,5,Basic,1,green
13000,106,31,534.85,2,3,3,233,8,Silver,0,red
13001,4,339,9818.82,5,5,5,555,15,Diamond,2,blue
13002,318,7,120.95,1,1,1,111,3,Basic,1,green
13003,105,6,149.05,2,1,1,211,4,Basic,1,green
13004,11,404,5655.91,5,5,5,555,15,Diamond,2,blue
13005,173,26,513.7,2,2,3,223,7,Silver,1,green
13006,56,4,81.57,3,1,1,311,5,Basic,1,green
13008,323,14,229.47,1,2,1,121,4,Basic,1,green
13011,372,3,50.55,1,1,1,111,3,Basic,1,green
13012,9,89,1661.84,5,4,4,544,13,Platinum,2,blue
13013,1,219,4810.94,5,5,5,555,15,Diamond,2,blue
13014,10,110,3466.28,5,4,5,545,14,Diamond,2,blue
13015,53,176,3346.28,3,5,5,355,13,Platinum,0,red
13016,73,47,789.89,2,3,3,233,8,Silver,0,red
13017,7,1,204,5,1,1,511,7,Silver,1,green
13018,16,458,7277.7,4,5,5,455,14,Diamond,2,blue
13021,4,131,2616.38,5,5,5,555,15,Diamond,2,blue
13023,64,40,689.9,3,3,3,333,9,Gold,0,red
13026,1,40,975.36,5,3,4,534,12,Platinum,2,blue
13027,113,26,6912,2,2,5,225,9,Gold,0,red
13028,22,45,661.32,4,3,3,433,10,Gold,0,red
13029,30,10,1247.5,4,1,4,414,9,Gold,0,red
13030,11,99,799.48,5,4,3,543,12,Platinum,0,red
13032,52,71,1010.18,3,4,4,344,11,Platinum,0,red
13033,357,11,190.55,1,1,1,111,3,Basic,1,green
13034,54,37,642.77,3,3,3,333,9,Gold,0,red
13035,73,27,921.88,2,2,4,224,8,Silver,0,red
13037,138,48,881.07,2,3,3,233,8,Silver,0,red
13038,80,28,908.46,2,2,4,224,8,Silver,0,red
13040,8,43,676.99,5,3,3,533,11,Platinum,0,red
13043,273,13,516.42,1,1,3,113,5,Basic,1,green
13044,291,33,560.47,1,3,3,133,7,Silver,1,green
13045,99,18,305.28,2,2,2,222,6,Silver,1,green
13046,30,35,629.31,4,3,3,433,10,Gold,0,red
13047,31,172,3237.54,4,5,5,455,14,Diamond,2,blue
13048,14,136,1835.91,4,5,4,454,13,Platinum,2,blue
13049,64,14,656.68,3,2,3,323,8,Silver,1,green
13050,14,403,5836.86,4,5,5,455,14,Diamond,2,blue
13052,212,18,348.15,1,2,2,122,5,Basic,1,green
13055,78,76,1214.41,2,4,4,244,10,Gold,0,red
13058,24,8,271.4,4,1,2,412,7,Silver,1,green
13059,249,8,183.4,1,1,1,111,3,Basic,1,green
13060,253,15,307.53,1,2,2,122,5,Basic,1,green
13061,72,10,248.61,2,1,2,212,5,Basic,1,green
13062,191,11,346.98,1,1,2,112,4,Basic,1,green
13064,12,69,1119.49,5,4,4,544,13,Platinum,0,red
13065,373,14,205.86,1,2,1,121,4,Basic,1,green
13066,24,48,470.8,4,3,3,433,10,Gold,0,red
13067,82,15,115.46,2,2,1,221,5,Basic,1,green
13068,10,2,344,5,1,2,512,8,Silver,1,green
13069,1,425,4436.12,5,5,5,555,15,Diamond,2,blue
13070,192,9,228.8,1,1,1,111,3,Basic,1,green
13072,266,7,177.15,1,1,1,111,3,Basic,1,green
13075,129,22,919.61,2,2,4,224,8,Silver,0,red
13077,1,112,729.27,5,4,3,543,12,Platinum,2,blue
13078,3,358,12627.94,5,5,5,555,15,Diamond,2,blue
13079,4,6,220.1,5,1,1,511,7,Silver,1,green
13080,179,6,58.08,1,1,1,111,3,Basic,1,green
13081,11,1028,28337.38,5,5,5,555,15,Diamond,2,blue
13082,126,73,3613.63,2,4,5,245,11,Platinum,0,red
13083,4,18,303.75,5,2,2,522,9,Gold,0,red
13085,157,22,416.08,2,2,2,222,6,Silver,1,green
13089,2,1818,58825.83,5,5,5,555,15,Diamond,2,blue
13090,8,155,8910.82,5,5,5,555,15,Diamond,2,blue
13091,28,21,345.82,4,2,2,422,8,Silver,0,red
13092,70,25,477.83,3,2,3,323,8,Silver,0,red
13093,275,159,7832.47,1,5,5,155,11,Platinum,0,red
13094,21,24,1927.32,4,2,4,424,10,Gold,0,red
13095,70,6,74.4,3,1,1,311,5,Basic,1,green
13097,32,423,6010.42,4,5,5,455,14,Diamond,2,blue
13098,1,572,28882.44,5,5,5,555,15,Diamond,2,blue
13099,99,1,207.36,2,1,1,211,4,Basic,1,green
13101,234,8,101.19,1,1,1,111,3,Basic,1,green
13102,1,304,6424.09,5,5,5,555,15,Diamond,2,blue
13103,39,8,243.94,3,1,2,312,6,Silver,1,green
13104,3,20,1098.48,5,2,4,524,11,Platinum,2,blue
13106,133,1,76.5,2,1,1,211,4,Basic,1,green
13107,44,58,1531.62,3,3,4,334,10,Gold,0,red
13108,372,10,350.06,1,1,2,112,4,Basic,1,green
13109,59,47,786.54,3,3,3,333,9,Gold,0,red
13110,31,145,1488.67,4,5,4,454,13,Platinum,0,red
13113,1,201,12245.96,5,5,5,555,15,Diamond,2,blue
13115,11,120,2294.78,5,4,5,545,14,Diamond,2,blue
13116,138,30,501.14,2,3,3,233,8,Silver,0,red
13117,21,76,984.91,4,4,4,444,12,Platinum,0,red
13118,19,79,1197.81,4,4,4,444,12,Platinum,0,red
13120,238,1,30.6,1,1,1,111,3,Basic,1,green
13121,269,50,283.73,1,3,2,132,6,Silver,1,green
13122,94,55,922.39,2,3,4,234,9,Gold,0,red
13124,89,235,3866.33,2,5,5,255,12,Platinum,0,red
13126,4,140,2099.64,5,5,5,555,15,Diamond,2,blue
13127,77,15,259.17,2,2,2,222,6,Silver,1,green
13130,94,2,64,2,1,1,211,4,Basic,1,green
13131,23,44,1073.3,4,3,4,434,11,Platinum,0,red
13132,261,3,77.3,1,1,1,111,3,Basic,1,green
13133,273,7,109.8,1,1,1,111,3,Basic,1,green
13134,85,98,1793.58,2,4,4,244,10,Gold,0,red
13135,196,1,3096,1,1,5,115,7,Silver,1,green
13136,56,127,2607.61,3,5,5,355,13,Platinum,0,red
13137,10,704,3650.41,5,5,5,555,15,Diamond,2,blue
13138,22,63,962.39,4,4,4,444,12,Platinum,0,red
13139,16,170,5064.94,4,5,5,455,14,Diamond,2,blue
13140,108,46,423.72,2,3,2,232,7,Silver,0,red
13141,84,135,2388.75,2,5,5,255,12,Platinum,0,red
13142,19,23,307.09,4,2,2,422,8,Silver,0,red
13144,332,3,110.95,1,1,1,111,3,Basic,1,green
13145,39,6,618.52,3,1,3,313,7,Silver,1,green
13146,26,17,228.91,4,2,1,421,7,Silver,1,green
13147,10,4,712.8,5,1,3,513,9,Gold,1,green
13148,29,319,3707.12,4,5,5,455,14,Diamond,2,blue
13149,14,86,1676.06,4,4,4,444,12,Platinum,2,blue
13151,295,74,1257.87,1,4,4,144,9,Gold,0,red
13153,5,15,486.22,5,2,3,523,10,Gold,0,red
13155,33,85,971.76,3,4,4,344,11,Platinum,0,red
13157,49,87,1741.22,3,4,4,344,11,Platinum,0,red
13158,94,79,1201.06,2,4,4,244,10,Gold,0,red
13159,8,121,1437.85,5,5,4,554,14,Diamond,2,blue
13160,22,4,91.8,4,1,1,411,6,Silver,1,green
13161,313,8,112.75,1,1,1,111,3,Basic,1,green
13162,122,79,1688.29,2,4,4,244,10,Gold,0,red
13165,46,42,1021.48,3,3,4,334,10,Gold,0,red
13166,283,41,417.2,1,3,2,132,6,Silver,1,green
13167,18,65,791.33,4,4,3,443,11,Platinum,0,red
13168,36,131,1319.19,3,5,4,354,12,Platinum,0,red
13169,63,13,712.88,3,1,3,313,7,Silver,1,green
13170,26,32,116.01,4,3,1,431,8,Silver,1,green
13171,21,46,468.41,4,3,3,433,10,Gold,0,red
13173,4,43,353.65,5,3,2,532,10,Gold,0,red
13174,16,314,2817.03,4,5,5,455,14,Diamond,2,blue
13176,46,72,492.84,3,4,3,343,10,Gold,0,red
13177,64,17,282.45,3,2,2,322,7,Silver,1,green
13178,26,265,5725.47,4,5,5,455,14,Diamond,2,blue
13182,45,11,121.18,3,1,1,311,5,Basic,1,green
13183,7,94,3957.78,5,4,5,545,14,Diamond,2,blue
13184,14,181,1701.29,4,5,4,454,13,Platinum,2,blue
13185,267,1,71.4,1,1,1,111,3,Basic,1,green
13186,39,79,1575.89,3,4,4,344,11,Platinum,0,red
13187,337,37,236.02,1,3,1,131,5,Basic,1,green
13188,11,2,114.6,5,1,1,511,7,Silver,1,green
13189,18,29,260.68,4,2,2,422,8,Silver,0,red
13192,95,63,911.94,2,4,4,244,10,Gold,0,red
13193,61,29,117.88,3,2,1,321,6,Silver,1,green
13194,135,3,60.7,2,1,1,211,4,Basic,1,green
13196,11,110,1797.78,5,4,4,544,13,Platinum,2,blue
13198,10,226,3401.24,5,5,5,555,15,Diamond,2,blue
13199,3,119,9817.12,5,4,5,545,14,Diamond,2,blue
13200,19,46,870.09,4,3,3,433,10,Gold,0,red
13203,9,57,869.46,5,3,3,533,11,Platinum,0,red
13207,15,8,250.26,4,1,2,412,7,Silver,1,green
13208,58,149,1223.9,3,5,4,354,12,Platinum,0,red
13209,30,321,5891.61,4,5,5,455,14,Diamond,2,blue
13210,93,22,353.48,2,2,2,222,6,Silver,1,green
13211,10,56,1197.42,5,3,4,534,12,Platinum,0,red
13212,19,142,788.08,4,5,3,453,12,Platinum,0,red
13213,56,90,1520.58,3,4,4,344,11,Platinum,0,red
13216,267,5,333.74,1,1,2,112,4,Basic,1,green
13217,122,4,533.98,2,1,3,213,6,Silver,1,green
13218,127,5,62.64,2,1,1,211,4,Basic,1,green
13220,78,21,819.29,2,2,3,223,7,Silver,0,red
13221,240,66,847.41,1,4,3,143,8,Silver,0,red
13223,200,5,163.2,1,1,1,111,3,Basic,1,green
13224,60,108,2155.95,3,4,5,345,12,Platinum,0,red
13225,3,32,6463.84,5,3,5,535,13,Platinum,2,blue
13226,273,16,108.21,1,2,1,121,4,Basic,1,green
13227,201,9,257.7,1,1,2,112,4,Basic,1,green
13228,81,2,358,2,1,2,212,5,Basic,1,green
13229,225,10,160.95,1,1,1,111,3,Basic,1,green
13230,4,611,2806.97,5,5,5,555,15,Diamond,2,blue
13232,12,207,1357.6,5,5,4,554,14,Diamond,2,blue
13233,74,43,605.12,2,3,3,233,8,Silver,0,red
13235,212,58,1031.07,1,3,4,134,8,Silver,0,red
13236,24,36,744.85,4,3,3,433,10,Gold,0,red
13238,17,31,700.73,4,3,3,433,10,Gold,0,red
13239,261,22,329.56,1,2,2,122,5,Basic,1,green
13240,96,67,663.65,2,4,3,243,9,Gold,0,red
13242,112,13,270.4,2,1,2,212,5,Basic,1,green
13243,203,58,600.07,1,3,3,133,7,Silver,0,red
13244,92,27,121.74,2,2,1,221,5,Basic,1,green
13245,50,16,430.5,3,2,2,322,7,Silver,1,green
13246,18,141,1987.3,4,5,5,455,14,Diamond,2,blue
13247,17,25,501.12,4,2,3,423,9,Gold,0,red
13248,124,26,465.68,2,2,3,223,7,Silver,1,green
13249,92,23,711.41,2,2,3,223,7,Silver,0,red
13253,156,36,1030.4,2,3,4,234,9,Gold,0,red
13255,9,13,399.51,5,1,2,512,8,Silver,0,red
13256,14,1,1,4,1,1,411,6,Silver,1,green
13258,11,38,698.58,5,3,3,533,11,Platinum,0,red
13259,61,87,292.32,3,4,2,342,9,Gold,0,red
13260,61,8,557.62,3,1,3,313,7,Silver,1,green
13261,268,9,944.1,1,1,4,114,6,Silver,1,green
13262,263,11,200.29,1,1,1,111,3,Basic,1,green
13263,1,1677,7454.07,5,5,5,555,15,Diamond,2,blue
13265,53,91,2107.66,3,4,5,345,12,Platinum,0,red
13266,11,187,3834.26,5,5,5,555,15,Diamond,2,blue
13267,2,211,4521.49,5,5,5,555,15,Diamond,2,blue
13268,17,440,3214.69,4,5,5,455,14,Diamond,2,blue
13269,1,316,5346.23,5,5,5,555,15,Diamond,2,blue
13270,366,1,590,1,1,3,113,5,Basic,1,green
13271,37,96,217.38,3,4,1,341,8,Silver,0,red
13272,31,15,276.56,4,2,2,422,8,Silver,1,green
13273,113,16,138.98,2,2,1,221,5,Basic,1,green
13276,63,30,590.93,3,3,3,333,9,Gold,0,red
13277,15,8,258.4,4,1,2,412,7,Silver,1,green
13278,40,46,542.73,3,3,3,333,9,Gold,0,red
13279,78,9,137.75,2,1,1,211,4,Basic,1,green
13280,122,85,814.86,2,4,3,243,9,Gold,0,red
13282,18,37,1132.14,4,3,4,434,11,Platinum,0,red
13283,59,7,93.66,3,1,1,311,5,Basic,1,green
13284,330,13,201.19,1,1,1,111,3,Basic,1,green
13285,23,187,2709.12,4,5,5,455,14,Diamond,2,blue
13291,155,42,361.11,2,3,2,232,7,Silver,0,red
13292,38,31,578.94,3,3,3,333,9,Gold,0,red
13294,189,54,873.74,1,3,3,133,7,Silver,0,red
13295,359,10,201.2,1,1,1,111,3,Basic,1,green
13296,137,5,87.4,2,1,1,211,4,Basic,1,green
13297,7,59,2089.85,5,4,5,545,14,Diamond,2,blue
13298,1,2,360,5,1,2,512,8,Silver,1,green
13299,268,5,142.5,1,1,1,111,3,Basic,1,green
13300,169,20,371.89,2,2,2,222,6,Silver,1,green
13301,103,81,618.09,2,4,3,243,9,Gold,0,red
13302,155,1,63.75,2,1,1,211,4,Basic,1,green
13304,351,21,300.42,1,2,2,122,5,Basic,1,green
13305,4,81,2000.86,5,4,5,545,14,Diamond,2,blue
13307,120,1,15,2,1,1,211,4,Basic,1,green
13308,22,54,1385.51,4,3,4,434,11,Platinum,0,red
13309,7,107,1456.79,5,4,4,544,13,Platinum,2,blue
13310,28,72,1132.03,4,4,4,444,12,Platinum,0,red
13311,4,26,598.57,5,2,3,523,10,Gold,0,red
13313,22,78,1555.32,4,4,4,444,12,Platinum,0,red
13314,1,62,775.94,5,4,3,543,12,Platinum,2,blue
13316,37,87,5977.73,3,4,5,345,12,Platinum,2,blue
13317,66,124,2273.68,3,5,5,355,13,Platinum,0,red
13318,1,20,640.76,5,2,3,523,10,Gold,2,blue
13319,5,476,10845.55,5,5,5,555,15,Diamond,2,blue
13320,78,106,1548.7,2,4,4,244,10,Gold,0,red
13321,72,11,567.36,2,1,3,213,6,Silver,1,green
13322,17,25,199.48,4,2,1,421,7,Silver,0,red
13323,3,21,787.85,5,2,3,523,10,Gold,0,red
13324,36,75,7121.95,3,4,5,345,12,Platinum,2,blue
13325,81,12,675.3,2,1,3,213,6,Silver,1,green
13327,38,108,3627.77,3,4,5,345,12,Platinum,2,blue
13328,316,17,1308.48,1,2,4,124,7,Silver,1,green
13329,31,17,789,4,2,3,423,9,Gold,0,red
13330,92,53,1140.93,2,3,4,234,9,Gold,0,red
13332,14,21,350.9,4,2,2,422,8,Silver,0,red
13334,82,268,3536.82,2,5,5,255,12,Platinum,0,red
13336,77,51,795.12,2,3,3,233,8,Silver,0,red
13338,157,19,487.02,2,2,3,223,7,Silver,1,green
13339,200,54,860.12,1,3,3,133,7,Silver,0,red
13340,45,134,10736.48,3,5,5,355,13,Platinum,2,blue
13341,260,42,775.85,1,3,3,133,7,Silver,0,red
13343,177,19,353.43,2,2,2,222,6,Silver,1,green
13344,67,119,2543.72,3,4,5,345,12,Platinum,0,red
13345,287,20,389.5,1,2,2,122,5,Basic,1,green
13347,70,8,341.36,3,1,2,312,6,Silver,1,green
13348,64,14,233.76,3,2,1,321,6,Silver,1,green
13349,10,16,247.32,5,2,2,522,9,Gold,0,red
13350,16,40,979.12,4,3,4,434,11,Platinum,0,red
13351,66,16,373.94,3,2,2,322,7,Silver,1,green
13352,60,24,397.98,3,2,2,322,7,Silver,0,red
13354,71,51,743.53,3,3,3,333,9,Gold,0,red
13355,122,32,674.7,2,3,3,233,8,Silver,0,red
13356,80,42,768.24,2,3,3,233,8,Silver,0,red
13357,257,90,609.95,1,4,3,143,8,Silver,0,red
13358,268,29,439.03,1,2,2,122,5,Basic,1,green
13359,63,23,439.56,3,2,2,322,7,Silver,0,red
13362,9,166,3090.74,5,5,5,555,15,Diamond,2,blue
13363,17,60,992.5,4,4,4,444,12,Platinum,0,red
13364,71,10,134.96,3,1,1,311,5,Basic,1,green
13365,33,128,2225.37,3,5,5,355,13,Platinum,0,red
13366,50,1,56.16,3,1,1,311,5,Basic,1,green
13368,256,29,623.4,1,2,3,123,6,Silver,1,green
13369,365,14,308.28,1,2,2,122,5,Basic,1,green
13370,371,39,754.87,1,3,3,133,7,Silver,0,red
13372,89,23,378.64,2,2,2,222,6,Silver,1,green
13373,60,158,3312.25,3,5,5,355,13,Platinum,0,red
13375,88,37,778.65,2,3,3,233,8,Silver,0,red
13376,99,53,1019.76,2,3,4,234,9,Gold,0,red
13379,26,97,572.56,4,4,3,443,11,Platinum,0,red
13381,31,172,3639.31,4,5,5,455,14,Diamond,2,blue
13382,280,15,222.99,1,2,1,121,4,Basic,1,green
13384,30,152,4151.93,4,5,5,455,14,Diamond,2,blue
13385,329,35,534.57,1,3,3,133,7,Silver,1,green
13388,131,35,677.1,2,3,3,233,8,Silver,0,red
13389,11,51,797.96,5,3,3,533,11,Platinum,0,red
13390,74,13,544.08,2,1,3,213,6,Silver,1,green
13391,203,1,59.8,1,1,1,111,3,Basic,1,green
13394,1,155,2520.02,5,5,5,555,15,Diamond,2,blue
13395,185,21,307.72,1,2,2,122,5,Basic,1,green
13396,29,43,1360.99,4,3,4,434,11,Platinum,0,red
13397,72,38,1544.13,2,3,4,234,9,Gold,0,red
13398,192,26,457.34,1,2,2,122,5,Basic,1,green
13402,127,39,621.23,2,3,3,233,8,Silver,0,red
13403,17,3,75,4,1,1,411,6,Silver,1,green
13404,1,11,252.49,5,1,2,512,8,Silver,0,red
13405,74,27,572.451,2,2,3,223,7,Silver,0,red
13408,1,478,28117.04,5,5,5,555,15,Diamond,2,blue
13410,24,28,1003.06,4,2,4,424,10,Gold,0,red
13411,107,18,213.55,2,2,1,221,5,Basic,1,green
13414,133,24,1390.5,2,2,4,224,8,Silver,0,red
13416,43,19,712.5,3,2,3,323,8,Silver,0,red
13417,4,28,640.83,5,2,3,523,10,Gold,0,red
13418,11,304,6127.43,5,5,5,555,15,Diamond,2,blue
13419,63,16,221.06,3,2,1,321,6,Silver,1,green
13420,149,8,159.85,2,1,1,211,4,Basic,1,green
13421,40,104,1851.08,3,4,4,344,11,Platinum,0,red
13422,64,127,2626.3,3,5,5,355,13,Platinum,0,red
13425,108,78,1624.21,2,4,4,244,10,Gold,0,red
13426,1,157,3641.32,5,5,5,555,15,Diamond,2,blue
13427,19,29,582.6,4,2,3,423,9,Gold,0,red
13428,10,74,218.47,5,4,1,541,10,Gold,0,red
13429,10,67,1006.8,5,4,4,544,13,Platinum,0,red
13430,18,49,679.45,4,3,3,433,10,Gold,0,red
13431,67,46,1269.1,3,3,4,334,10,Gold,0,red
13434,74,10,534.24,2,1,3,213,6,Silver,1,green
13435,5,101,3809.89,5,4,5,545,14,Diamond,2,blue
13436,1,12,196.89,5,1,1,511,7,Silver,0,red
13437,14,167,3408.06,4,5,5,455,14,Diamond,2,blue
13439,255,54,283.71,1,3,2,132,6,Silver,1,green
13441,91,13,296.64,2,1,2,212,5,Basic,1,green
13447,23,59,1129.14,4,4,4,444,12,Platinum,0,red
13448,16,195,3539.37,4,5,5,455,14,Diamond,2,blue
13449,23,19,291.88,4,2,2,422,8,Silver,1,green
13450,26,71,2043.72,4,4,5,445,13,Platinum,0,red
13451,26,443,2976.15,4,5,5,455,14,Diamond,2,blue
13452,259,2,590,1,1,3,113,5,Basic,1,green
13453,165,17,356.98,2,2,2,222,6,Silver,1,green
13455,24,46,1058.34,4,3,4,434,11,Platinum,0,red
13456,17,63,1766.72,4,4,4,444,12,Platinum,0,red
13458,7,382,9646.57,5,5,5,555,15,Diamond,2,blue
13460,29,17,183.44,4,2,1,421,7,Silver,1,green
13461,38,27,1445,3,2,4,324,9,Gold,0,red
13462,252,9,151.5,1,1,1,111,3,Basic,1,green
13464,58,41,674.68,3,3,3,333,9,Gold,0,red
13466,184,17,307.9,1,2,2,122,5,Basic,1,green
